IdPropia;IdCatPadre;Nombre Producto;Descripcion;Descripcion Corta;Código de referencia;Precio Sin IVA;Precio Con IVA;Cantidad;Activo;Meta Título;Meta Palabras Clave;Meta Descripción;URL Imagen
10;82;Suero;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
11;82;Suero con gel separado;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
12;82;RST;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
13;82;Citrato;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
14;82;EDTA;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
15;82;Heparina;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
16;82;Plasma con gel separador y heparina de litio;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
17;82;Tubo BD Vacutainer® para determinaciones de glucosa;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
18;82;Tubo BD Vacutainer® para determinaciones de elementos en traza;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
19;82;Tubo BD Vacutainer® con ACD;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
20;82;VSG;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
21;82;Tubo BD Vacutainer PPT para determinaciones de carga viral;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
22;82;Tubo BD Vacutainer® CPT con gel separador, anticoagulante y Ficol;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
23;82;PAXGene™ / Pruebas de RNA;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
24;82;Agujas BD Vacutainer®;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
25;82;Agujas BD Vacutainer® Eclipse™;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
26;82;Agujas Flashback;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
27;82;Equipo alado BD Vacutainer® Push Button;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
28;82;Equipo alado BD Vacutainer® Safety-Lok™;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
29;82;Holders;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
30;82;Torniquetes;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
31;82;Accesorios;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
32;82;Adaptadores;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
33;83;Tubos BD Microtainer®;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
34;83;BD Microtainer® MAP;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
35;83;Lancetas Contact-Activated;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
36;83;Lancetas BD Quikheel™;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
37;84;Jeringa para gases arteriales BD Preset™;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
38;85;Recolección de orina;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
39;85;Kits para recolección de orina (1 pza. por kit);;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
40;86;AccuVein;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
41;87;Bolsa Transfer;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
42;168;Bolsa Transfer;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
43;169;Bolsa Sencilla;;;;;;10;1;;;;http://localhost/consorcioHospitalario/img/ImagenNoDisponible.png
